operation,input_bytes,page_bytes,operations,median_seconds,live_requested_bytes
scalar_star,1048576,0,1,0.003648771,1048576
table8_star,1048576,0,1,0.000696460,1048576
parallel2_star,1048576,0,1,0.000724382,1048576
parallel4_star,1048576,0,1,0.000655145,1048576
parallel8_star,1048576,0,1,0.000858041,1048576
scalar_chain,1048576,0,1,0.003738462,1048576
table8_chain,1048576,0,1,0.000738529,1048576
parallel2_chain,1048576,0,1,0.000769558,1048576
parallel4_chain,1048576,0,1,0.000744580,1048576
parallel8_chain,1048576,0,1,0.000827287,1048576
scalar_nested,1048576,0,1,0.004426175,1048576
table8_nested,1048576,0,1,0.000704244,1048576
parallel2_nested,1048576,0,1,0.000718380,1048576
parallel4_nested,1048576,0,1,0.000658407,1048576
parallel8_nested,1048576,0,1,0.000881479,1048576
build,1048576,256,1,0.001203139,1638336
read,1048576,256,1000,0.000022984,1638336
find_close,1048576,256,1000,0.000140075,1638336
range_4k_summary,1048576,256,1000,0.000347939,1638336
mix50_uniform,1048576,256,1000,0.000509214,2238336
mix5_uniform,1048576,256,1000,0.000117733,1698336
mix50_hot,1048576,256,1000,0.000511659,2238336
mix5_hot,1048576,256,1000,0.000055686,1698336
splice_history,1048576,256,1000,0.002214124,3672388
branch_history,1048576,256,1000,0.000863696,2838256
build,1048576,1024,1,0.000858256,1195968
read,1048576,1024,1000,0.000010169,1195968
find_close,1048576,1024,1000,0.000060244,1195968
range_4k_summary,1048576,1024,1000,0.000794394,1195968
mix50_uniform,1048576,1024,1000,0.000760951,2107968
mix5_uniform,1048576,1024,1000,0.000075433,1287168
mix50_hot,1048576,1024,1000,0.000663848,2107968
mix5_hot,1048576,1024,1000,0.000074792,1287168
splice_history,1048576,1024,1000,0.002537116,3681910
branch_history,1048576,1024,1000,0.001459304,3019888
build,1048576,4096,1,0.000775079,1085376
read,1048576,4096,1000,0.000006282,1085376
find_close,1048576,4096,1000,0.000035417,1085376
range_4k_summary,1048576,4096,1000,0.002866971,1085376
mix50_uniform,1048576,4096,1000,0.001821380,3461376
mix5_uniform,1048576,4096,1000,0.000186944,1322976
mix50_hot,1048576,4096,1000,0.001769953,3461376
mix5_hot,1048576,4096,1000,0.000173428,1322976
splice_history,1048576,4096,1000,0.004290176,5054130
branch_history,1048576,4096,1000,0.003848200,5837296
flat_mix50_uniform,1048576,0,1000,0.215770375,525336576
